"companyId","companyName","ReviewsCount","AggregateRating"
"6647953","Dr. Sharda Ayurveda","2.0","5.0"
"729065","MIOT International","289.0","3.4"
"5896872","Rameshwar Infra Creation Llp","8.0","3.5"
"6256648","AV People Kart","",""
"124476990","Dip Projects PMC","3.0","5.0"
"124555540","H And M Hospital","",""
"124460644","Your Business Solution Enterprises","",""
"125139207","Green Growth Consultancy Pvt Ptd","",""
"125111833","Sanskaram School of Medical Sciences ","",""
"25207","Yashaswi Group","",""
"123782204","Ford Hospital and Research Centre (FHRC)","29.0","4.2"
"125130037","K Kg Marketing","",""
"1310852","Riddhi Display Equipments","28.0","3.6"
"6405668","Alpha Capital","13.0","2.6"
"3966918","Purple Drive Technologies","",""
"2598786","Sri Vasavi Matriculation","",""
"125137049","The Vip Lounge","",""
"5969848","Transcend Biz Mentors","",""
"125136705","Humanglobe","",""
"6296268","RSM US in India","276.0","3.4"
"4195664","M And C Property Development","15.0","3.6"
"125133589","Air Trip Maker","3.0","5.0"
"123817081","Lericon Informatics","",""
"123803865","Xceltec","59.0","4.2"
"123639303","Tecnovisions","",""
"124545736","Apex One","1204.0","3.3"
"123598279","Takshashila Consulting","",""
"125132391","Panache Healthneeds","2.0","2.3"
"125131315","Alpha Multi-specialty Hospital","",""
"125131317","IA Meetings","2.0","2.9"
"125131269","Shree Radha Krishna Group","",""
"1642934","Toluna Group","151.0","3.5"
"5000832","Kushals.com","314.0","4.4"
"124546166","Oodles Technologies","337.0","3.1"
"3629536","Arya Niwas","",""
"2521988","Leewayhertz Technologies","79.0","3.1"
"123849381","Ucfer","7.0","4.9"
"123605017","Simulanis Solutions","46.0","4.0"
"1881286","ZealousWeb Technologies","21.0","3.1"
"4931646","Tetrahedron Manufacturing Services","56.0","4.0"
"5025798","Findoc Investmart","28.0","3.6"
"4904274","Planify","39.0","4.1"
"124142104","Thanal Charitable Trust","2.0","4.2"
"7023941","Cyboard School","35.0","4.4"
"7031459","Trueledge Hr And Accounting Services","",""
"124231292","myG","37.0","4.2"
"125131665","Mediasparkk Digital","",""
"123871829","Walkaroo International","429.0","3.6"
"124418466","Aaron India","",""
"4428228","Unipath Specialty Laboratory","132.0","3.9"
"3867620","International Flavors & Fragrances","257.0","3.7"
"3912534","DC Consultants","16.0","4.5"
"4829560","AML Rightsource","441.0","2.9"
"4914148","Square Infosoft","4.0","3.3"
"7143161","Haleon","271.0","3.4"
"125057131","Bakingo ( A Brand of FA Gifts Pvt Ltd)","28.0","3.3"
"4037714","Xylem Learning App","121.0","4.2"
"124379992","Vmax Wellness","9.0","4.1"
"2608884","iTech India","103.0","3.3"
"124878845","Tata AIA Life Insurance Company Ltd.","3951.0","3.9"
"5619324","Irish Expert","60.0","3.7"
"5943590","Cometchat","6.0","4.7"
"125137523","Triangle Properties","",""
"123490487","Lmdmax","",""
"123662511","Council of Education & Development Programmes Pvt Ltd.","7.0","4.2"
"2902064","Walkaroo International","429.0","3.6"
"7098095","Bestal Hr","",""
"5405944","Avani Consulting","",""
"124363826","Blueladder Epc Solutions","25.0","4.0"
"752124","Carris Pipes & Tubes","14.0","4.5"
"4458276","RMS Associates","9.0","4.4"
"932894","Fortuna Retail","72.0","3.4"
"1512928","Petpooja","579.0","4.0"
"239971","Stellar Information Technology","230.0","3.6"
"3132890","ZunRoof Tech","158.0","3.6"
"6366118","People Link","",""
"124840145","People Hr","",""
"1765244","Creditas Solutions","147.0","2.9"
"4952016","SRS Global","12.0","4.2"
"6948869","Femisafe India Pvt. Ltd","",""
"5141732","Welkinz","16.0","3.1"
"6531830","Mittsure Technologies","118.0","2.8"
"125136801","Core Grand Solutions","",""
"124558152","Recruito","",""
"125136681","M&M PROTECH  PRIVATE LIMITED","",""
"2551074","Home Centre","2190.0","4.3"
"123983404","Espee Pharma Chem","",""
"6116690","MM Creative & Advertising Agency","",""
"125132329","Vinodheda Textile","",""
"125053319","CSV Techno Services","7.0","3.6"
"1271268","Jaivel Aerospace","47.0","1.8"
"124284572","Caonweb","7.0","3.1"
"125136599","NP Corporation","",""
"6717925","Vastu Housing Finance","657.0","4.2"
"3812224","Stanford Laboratories","90.0","4.2"
"5313224","A J Mohan & Associates","24.0","2.6"
"124559978","King Lifestyle Vacation","",""
"216882","Select Source International","",""
"6282630","Webrex Studio Llp","2.0","5.0"
"124210392","Vecura Wellness Clinic","52.0","3.3"
"125062719","Hoora Technology","9.0","3.2"
"4318614","KiE Square","18.0","4.6"
"363191","Lenskart","3775.0","3.3"
"123894955","Acute Vision Consultant","",""
"123519809","NJP Global Services","",""
"4454074","Excel Marketing Corporation","11.0","3.0"
"124562718","THE Career Artist","",""
"5731242","ZIGRAM ","240.0","3.6"
"123592885","Cococart Ventures","108.0","3.6"
"1509798","Defsys Solutions","114.0","3.7"
"929844","Firstouch Solutions","10.0","4.4"
"124052816","Aashi Care","",""
"123866185","Stemcyte India Therapeutics","64.0","3.4"
"125136199","S Z Samaz Sewa Hospital","",""
"1108500","SVAS Med Private Limited","326.0","3.7"
"4246928","Time2Grow Media","",""
"124427596","Flowtex Engineers","7.0","4.5"
"1428834","Innovationm","269.0","4.0"
"843885","Rudra Hr Solutions","",""
"125117977","The Raymond Shop","1952.0","4.1"
"3152300","Saguna Consulting Services","17.0","3.9"
"3968026","Real Unity","",""
"5879064","Ensconce Business Process Consulting Services","",""
"374975","Innovision","",""
"123491113","Eversub","25.0","3.6"
"124019510","Mycon Infrastructure","",""
"33581","Krishna Institute Of Medical Sciences","133.0","4.0"
"4331924","Precious Pet Services","184.0","3.7"
"1366438","1Point1","986.0","3.4"
"132107","Aforeserve","1297.0","3.3"
"2532","Suzlon Group","2662.0","4.0"
